	Token	Polarity	StdDev	Grades
1896	degradingly	-2.7	0.64031	[-3, -2, -3, -4, -2, -3, -3, -2, -3, -2]
1897	dehumanize	-1.8	2.18174	[-2, -4, -1, -3, 2, -4, -3, 2, -1, -4]
1898	dehumanized	-1.9	0.7	[-2, -2, -2, -2, -1, -3, -2, -1, -3, -1]
1899	dehumanizes	-1.5	0.67082	[-1, -1, -1, -2, -1, -3, -2, -1, -2, -1]
1900	dehumanizing	-2.4	0.91652	[-2, -3, -4, -2, -3, -2, -3, -1, -1, -3]
1901	deject	-2.2	0.6	[-2, -3, -2, -3, -2, -2, -3, -2, -1, -2]
1902	dejected	-2.2	0.74833	[-2, -1, -2, -3, -2, -2, -2, -2, -2, -4]
1903	dejecting	-2.3	0.64031	[-2, -2, -3, -2, -3, -2, -1, -2, -3, -3]
1904	dejects	-2.0	0.63246	[-2, -2, -3, -1, -2, -1, -3, -2, -2, -2]
1905	delay	-1.3	0.45826	[-1, -1, -1, -2, -1, -1, -2, -1, -2, -1]
1906	delayed	-0.9	0.3	[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1]
1907	delectable	2.9	0.83066	[3, 4, 3, 2, 3, 4, 3, 1, 3, 3]
1908	delectables	1.4	1.35647	[1, 2, 0, 4, 2, 1, 3, -1, 1, 1]
1909	delectably	2.8	0.74833	[3, 4, 3, 2, 3, 3, 3, 1, 3, 3]
1910	delicate	0.2	0.74833	[2, 0, 0, 0, 0, 0, 1, 0, -1, 0]
1911	delicately	1.0	1.26491	[1, 1, 2, 0, 1, 3, -1, 2, -1, 2]
1912	delicates	0.6	1.35647	[3, 0, 2, 1, -1, -1, 2, 0, 1, -1]
1913	delicatessen	0.4	0.8	[0, 0, 0, 0, 0, 0, 0, 2, 2, 0]
1914	delicatessens	0.4	0.8	[0, 0, 2, 0, 0, 2, 0, 0, 0, 0]
1915	delicious	2.7	0.64031	[3, 2, 3, 4, 2, 3, 3, 3, 2, 2]
1916	deliciously	1.9	0.83066	[2, 2, 1, 3, 1, 3, 2, 3, 1, 1]
1917	deliciousness	1.8	0.87178	[1, 2, 3, 3, 2, 2, 1, 2, 2, 0]
1918	delight	2.9	0.7	[2, 3, 4, 4, 3, 2, 3, 3, 2, 3]
1919	delighted	2.3	0.64031	[3, 3, 2, 3, 2, 1, 3, 2, 2, 2]
1920	delightedly	2.4	0.4899	[2, 3, 3, 3, 2, 2, 3, 2, 2, 2]
1921	delightedness	2.1	0.53852	[2, 2, 2, 2, 3, 2, 3, 2, 1, 2]
1922	delighter	2.0	0.63246	[3, 2, 2, 3, 1, 2, 2, 1, 2, 2]
1923	delighters	2.6	0.66332	[3, 2, 2, 2, 3, 2, 3, 2, 4, 3]
1924	delightful	2.8	0.6	[4, 3, 2, 3, 3, 3, 2, 2, 3, 3]
1925	delightfully	2.7	0.45826	[3, 2, 2, 2, 3, 3, 3, 3, 3, 3]
1926	delightfulness	2.1	0.7	[3, 2, 3, 1, 2, 3, 2, 2, 2, 1]
1927	delighting	1.6	1.90788	[3, 3, 3, 2, 3, 2, 3, -2, -2, 1]
1928	delights	2.0	1.54919	[2, 3, 1, -2, 2, 4, 2, 3, 3, 2]
1929	delightsome	2.3	0.45826	[3, 3, 2, 2, 2, 3, 2, 2, 2, 2]
1930	demand	-0.5	0.67082	[0, 0, 0, 0, 0, -1, -1, -1, 0, -2]
1931	demanded	-0.9	0.7	[-2, 0, 0, 0, -2, -1, -1, -1, -1, -1]
1932	demanding	-0.9	0.53852	[-1, -2, 0, -1, -1, -1, -1, -1, 0, -1]
1933	demonstration	0.4	0.91652	[0, 0, 0, 0, 0, 0, 3, 1, 0, 0]
1934	demoralized	-1.6	1.62481	[-2, -2, -2, -2, -3, 2, -2, -3, 1, -3]
1935	denied	-1.9	0.53852	[-2, -3, -1, -2, -2, -1, -2, -2, -2, -2]
1936	denier	-1.5	0.67082	[-1, -1, -1, -1, -2, -3, -2, -2, -1, -1]
1937	deniers	-1.1	1.13578	[-2, 0, -2, -1, -3, 1, 0, -1, -2, -1]
1938	denies	-1.8	0.6	[-1, -2, -1, -1, -2, -3, -2, -2, -2, -2]
1939	denounce	-1.4	0.91652	[-2, -1, -2, -1, 1, -2, -2, -1, -2, -2]
1940	denounces	-1.9	0.7	[-1, -3, -2, -3, -2, -1, -2, -2, -2, -1]
1941	deny	-1.4	0.4899	[-1, -1, -1, -1, -2, -1, -2, -2, -1, -2]
1942	denying	-1.4	0.4899	[-1, -1, -1, -2, -2, -2, -1, -2, -1, -1]
1943	depress	-2.2	0.74833	[-2, -1, -3, -3, -2, -2, -3, -3, -1, -2]
1944	depressant	-1.6	1.11355	[-3, -1, 0, -1, 0, -2, -3, -1, -3, -2]
1945	depressants	-1.6	0.91652	[-1, -1, -3, -3, -2, 0, -1, -2, -2, -1]
1946	depressed	-2.3	0.45826	[-2, -2, -2, -2, -2, -3, -3, -3, -2, -2]
1947	depresses	-2.2	0.6	[-2, -2, -2, -2, -3, -3, -1, -2, -3, -2]
1948	depressible	-1.7	0.78102	[-2, -1, 0, -3, -2, -2, -2, -1, -2, -2]
1949	depressing	-1.6	1.28062	[-2, -2, -2, 2, -3, -1, -2, -2, -2, -2]
1950	depressingly	-2.3	0.45826	[-2, -3, -2, -2, -2, -3, -3, -2, -2, -2]
1951	depression	-2.7	0.64031	[-3, -2, -2, -2, -2, -3, -4, -3, -3, -3]
1952	depressions	-2.2	0.6	[-2, -3, -3, -2, -2, -2, -3, -2, -2, -1]
1953	depressive	-1.6	1.11355	[-2, -1, -1, -2, -1, -2, -3, 1, -3, -2]
1954	depressively	-2.1	0.53852	[-3, -2, -3, -2, -2, -2, -2, -1, -2, -2]
1955	depressives	-1.5	0.5	[-2, -1, -1, -2, -1, -1, -1, -2, -2, -2]
1956	depressor	-1.8	1.16619	[-2, -4, -3, 0, 0, -2, -2, -2, -1, -2]
1957	depressors	-1.7	0.9	[-1, -1, -1, -2, -1, -2, -4, -2, -2, -1]
1958	depressurization	-0.3	0.78102	[1, 0, 0, -1, -1, 0, -2, 0, 0, 0]
1959	depressurizations	-0.4	0.91652	[0, 0, 0, 0, 1, -2, -1, 0, -2, 0]
1960	depressurize	-0.5	0.80623	[0, 0, -2, 0, -2, 0, 0, 0, 0, -1]
1961	depressurized	-0.3	0.64031	[0, 0, 0, 0, 0, 0, -1, 0, -2, 0]
1962	depressurizes	-0.3	0.64031	[0, 0, 0, 0, 0, 0, -1, 0, -2, 0]
1963	depressurizing	-0.7	1.34536	[2, 0, -1, -1, -2, -2, 1, -2, 0, -2]
1964	deprival	-2.1	0.7	[-1, -2, -2, -2, -1, -3, -3, -3, -2, -2]
1965	deprivals	-1.2	0.87178	[0, -1, -2, -1, 0, -2, -1, -1, -3, -1]
1966	deprivation	-1.8	1.4	[-3, -2, -3, -2, -1, -2, -2, 2, -2, -3]
1967	deprivations	-1.8	0.74833	[-1, -2, -3, -1, -2, -1, -2, -2, -3, -1]
1968	deprive	-2.1	0.7	[-3, -2, -1, -3, -1, -2, -2, -3, -2, -2]
1969	deprived	-2.1	0.7	[-2, -2, -2, -2, -2, -4, -2, -2, -1, -2]
1970	depriver	-1.6	0.91652	[-1, -2, -1, -2, -1, -4, -2, -1, -1, -1]
1971	deprivers	-1.4	0.66332	[-2, -1, -1, -3, -1, -1, -1, -1, -2, -1]
1972	deprives	-1.7	0.64031	[-2, -2, -1, -2, -1, -3, -2, -1, -1, -2]
1973	depriving	-2.0	0.0	[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2]
1974	derail	-1.2	1.07703	[-1, 1, -1, -2, -1, -2, -1, -3, -2, 0]
1975	derailed	-1.4	0.66332	[-1, -2, -2, 0, -1, -1, -2, -1, -2, -2]
1976	derails	-1.3	0.78102	[-2, -3, -1, -2, -1, -1, 0, -1, -1, -1]
1977	deride	-1.1	1.22066	[-3, -2, -2, -1, -1, -1, 1, -2, -1, 1]
1978	derided	-0.8	0.87178	[-2, -1, -2, 0, 0, -1, -1, -1, 1, -1]
1979	derides	-1.0	1.0	[-1, -2, -2, 0, 0, 1, -1, -2, -1, -2]
1980	deriding	-1.5	0.80623	[-2, -2, 0, 0, -2, -1, -2, -2, -2, -2]
1981	derision	-1.2	1.249	[-1, -2, -2, -2, -1, -1, 1, 1, -3, -2]
1982	desirable	1.3	0.45826	[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]
1983	desire	1.7	0.78102	[1, 1, 2, 1, 3, 3, 1, 2, 2, 1]
1984	desired	1.1	1.04403	[1, 1, 0, 3, 1, 0, 1, 1, 3, 0]
1985	desirous	1.3	0.64031	[1, 2, 1, 2, 2, 1, 2, 1, 0, 1]
1986	despair	-1.3	1.9	[2, -1, -3, -1, -3, 1, -3, 1, -3, -3]
1987	despaired	-2.7	0.45826	[-2, -2, -3, -3, -3, -3, -3, -2, -3, -3]
1988	despairer	-1.3	1.1	[-2, -2, -1, -3, -2, 1, -1, -1, 0, -2]
1989	despairers	-1.3	1.00499	[-2, -1, -1, 1, -2, -1, -2, -1, -1, -3]
1990	despairing	-2.3	0.64031	[-2, -1, -3, -2, -3, -2, -2, -2, -3, -3]
1991	despairingly	-2.2	0.74833	[-2, -2, -2, -2, -4, -2, -3, -1, -2, -2]
1992	despairs	-2.7	1.00499	[-3, -4, -1, -3, -4, -2, -1, -3, -3, -3]
1993	desperate	-1.3	1.34536	[-2, -1, -2, 1, -1, -2, -3, -3, -1, 1]
1994	desperately	-1.6	1.11355	[-3, -3, -2, -1, -2, -1, -2, -2, -1, 1]
1995	desperateness	-1.5	1.36015	[-1, -2, -2, -2, -3, -3, 1, -2, 1, -2]
1996	desperation	-2.0	1.0	[-2, -1, -1, -2, -3, -3, -1, -4, -1, -2]
1997	desperations	-2.2	1.66132	[-1, -4, -2, -4, -4, -1, -1, -2, 1, -4]
1998	despise	-1.4	1.35647	[-2, -3, -1, -2, -1, 1, -3, 1, -2, -2]
1999	despised	-1.7	1.48661	[-2, -1, -3, -2, -3, 1, -3, 1, -2, -3]
2000	despisement	-2.4	0.91652	[-3, -3, -2, -1, -3, -1, -4, -2, -2, -3]
2001	despisements	-2.5	1.0247	[-2, -2, -3, -2, 0, -3, -4, -3, -3, -3]
2002	despiser	-1.8	1.07703	[-2, -1, -3, 1, -2, -2, -3, -2, -2, -2]
2003	despisers	-1.6	1.35647	[-3, -3, -1, -3, -2, -1, -1, 1, 0, -3]
2004	despises	-2.0	1.26491	[-3, -1, -3, 1, -2, -1, -3, -2, -3, -3]
2005	despising	-2.7	0.9	[-4, -3, -3, -4, -1, -2, -3, -2, -2, -3]
2006	despondent	-2.1	0.53852	[-2, -2, -2, -3, -2, -2, -1, -3, -2, -2]
2007	destroy	-2.5	0.67082	[-2, -3, -3, -1, -3, -3, -3, -2, -2, -3]
2008	destroyed	-2.2	0.87178	[-1, -3, -3, -2, -1, -2, -1, -3, -3, -3]
2009	destroyer	-2.0	0.89443	[-2, -3, -3, -3, -1, -2, -2, -2, 0, -2]
2010	destroyers	-2.3	0.78102	[-1, -3, -3, -3, -2, -2, -3, -3, -1, -2]
2011	destroying	-2.6	0.91652	[-2, -4, -4, -2, -1, -3, -2, -3, -2, -3]
2012	destroys	-2.6	0.4899	[-3, -3, -3, -2, -2, -2, -3, -3, -2, -3]
2013	destruct	-2.4	0.4899	[-3, -3, -3, -2, -2, -2, -3, -2, -2, -2]
2014	destructed	-1.9	1.04403	[-4, -1, -2, -2, -2, -1, -3, -2, 0, -2]
2015	destructibility	-1.8	1.07703	[-1, -2, -1, -1, -2, -3, -2, 0, -4, -2]
2016	destructible	-1.5	1.11803	[-2, -2, -2, -1, 1, -1, -3, -1, -3, -1]
2017	destructing	-2.5	0.67082	[-2, -3, -2, -3, -2, -2, -2, -3, -2, -4]
2018	destruction	-2.7	0.9	[-4, -3, -4, -3, -2, -2, -3, -1, -2, -3]
2019	destructionist	-2.6	0.8	[-3, -4, -2, -2, -2, -3, -3, -1, -3, -3]
2020	destructionists	-2.1	0.53852	[-3, -1, -2, -2, -3, -2, -2, -2, -2, -2]
2021	destructions	-2.3	0.78102	[-3, -2, -2, -2, -1, -3, -4, -2, -2, -2]
2022	destructive	-3.0	0.63246	[-3, -4, -3, -2, -3, -3, -3, -2, -4, -3]
2023	destructively	-2.4	0.91652	[-2, -3, -1, -4, -2, -3, -3, -3, -1, -2]
2024	destructiveness	-2.4	0.91652	[-3, -3, -2, -4, -1, -2, -3, -2, -1, -3]
2025	destructivity	-2.2	1.53623	[2, -3, -3, -4, -3, -2, -2, -2, -2, -3]
2026	destructs	-2.4	0.91652	[-2, -1, -2, -4, -4, -2, -3, -2, -2, -2]
2027	detached	-0.5	1.20416	[-1, 2, -1, -1, -2, 0, 1, -2, -1, 0]
2028	detain	-1.8	0.9798	[-3, -1, -2, -2, -4, -2, -1, -1, -1, -1]
2029	detained	-1.7	0.9	[-1, -1, -1, -1, -1, -2, -2, -2, -2, -4]
2030	detention	-1.5	0.67082	[-1, -2, -1, -2, -1, -1, -3, -2, -1, -1]
2031	determinable	0.9	0.7	[2, 1, 1, 1, 0, 1, 2, 0, 0, 1]
2032	determinableness	0.2	1.07703	[0, 0, 0, 1, 0, 1, -1, 2, -2, 1]
2033	determinably	0.9	0.83066	[2, 0, 1, 1, 0, 1, 2, 2, 0, 0]
2034	determinacy	1.0	1.0	[0, 0, 0, 3, 1, 1, 2, 1, 0, 2]
2035	determinant	0.2	0.6	[0, 1, -1, 0, 1, 1, 0, 0, 0, 0]
2036	determinantal	-0.3	1.41774	[0, 0, 0, -4, 0, -1, 0, 0, 2, 0]
2037	determinate	0.8	0.87178	[2, 1, 0, 0, 0, 2, 2, 0, 1, 0]
2038	determinately	1.2	0.6	[1, 2, 0, 1, 1, 1, 2, 1, 2, 1]
2039	determinateness	1.1	0.9434	[1, 1, 1, 0, 0, 2, 3, 1, 0, 2]
2040	determination	1.7	0.78102	[2, 3, 1, 1, 1, 2, 1, 1, 2, 3]
2041	determinations	0.8	1.16619	[0, 3, 1, 0, 1, 3, 0, 0, 0, 0]
2042	determinative	1.1	1.04403	[2, 0, 3, 2, 1, 1, 0, 0, 2, 0]
2043	determinatives	0.9	1.3	[2, 0, -2, 1, 2, 2, 2, 0, 0, 2]
2044	determinator	1.1	1.04403	[3, 0, 1, 0, 1, 0, 2, 2, 0, 2]
2045	determined	1.4	1.35647	[-2, 1, 3, 2, 2, 2, 3, 1, 1, 1]
2046	devastate	-3.1	0.9434	[-4, -4, -1, -4, -4, -3, -3, -3, -2, -3]
2047	devastated	-3.0	0.89443	[-4, -3, -3, -4, -3, -1, -3, -4, -3, -2]
2048	devastates	-2.8	0.9798	[-4, -3, -2, -4, -2, -1, -3, -4, -3, -2]
2049	devastating	-3.3	0.9	[-4, -3, -4, -4, -1, -4, -3, -3, -3, -4]
2050	devastatingly	-2.4	1.28062	[-3, -4, -3, 0, -3, 0, -2, -3, -3, -3]
2051	devastation	-1.8	2.13542	[-1, -1, -3, -3, -4, -3, -4, 2, 2, -3]
2052	devastations	-1.9	1.92094	[-3, -3, -2, -2, 1, -1, 2, -4, -4, -3]
2053	devastative	-3.2	1.16619	[-4, -3, 0, -4, -4, -3, -3, -4, -3, -4]
2054	devastator	-2.8	0.74833	[-3, -3, -2, -2, -3, -2, -3, -4, -2, -4]
2055	devastators	-2.9	1.22066	[-3, -2, -3, -4, -4, -4, 0, -3, -2, -4]
2056	devil	-3.4	0.8	[-4, -3, -4, -4, -4, -4, -2, -3, -2, -4]
2057	deviled	-1.6	1.0198	[-1, -2, 0, -4, -1, -2, -2, -2, -1, -1]
2058	devilfish	-0.8	1.07703	[-2, -3, -1, 0, 0, 0, 0, -2, 0, 0]
2059	devilfishes	-0.6	1.0198	[-3, 0, -2, 0, 0, 0, 0, -1, 0, 0]
2060	deviling	-2.2	0.87178	[-1, -3, -1, -2, -3, -2, -2, -4, -2, -2]
2061	devilish	-2.1	1.04403	[-1, -2, -4, -1, -1, -2, -2, -4, -2, -2]
2062	devilishly	-1.6	0.8	[-2, -2, -3, -1, -2, -2, 0, -2, -1, -1]
2063	devilishness	-2.3	0.9	[-4, -1, -4, -2, -2, -2, -2, -2, -2, -2]
2064	devilkin	-2.4	0.91652	[-3, -1, -2, -3, -2, -4, -2, -3, -3, -1]
2065	devilled	-2.3	1.1	[-3, -1, -2, -3, 0, -4, -2, -3, -2, -3]
2066	devilling	-1.8	1.249	[-3, -1, -1, -2, -2, -3, -4, -2, 0, 0]
2067	devilment	-1.9	0.9434	[-2, -1, -2, -1, -3, -2, -2, -1, -1, -4]
2068	devilments	-1.1	0.7	[-2, -1, -2, -2, -1, 0, 0, -1, -1, -1]
2069	devilries	-1.6	1.35647	[-1, -1, -2, -4, -3, 0, -2, 0, 0, -3]
2070	devilry	-2.8	1.249	[-4, -3, 0, -2, -2, -2, -3, -4, -4, -4]
2071	devils	-2.7	0.9	[-3, -1, -3, -2, -2, -3, -4, -3, -2, -4]
2072	deviltries	-1.5	1.11803	[-1, -2, 1, -2, 0, -2, -2, -3, -2, -2]
2073	deviltry	-2.8	1.32665	[-4, -4, -3, -3, -3, -3, 1, -3, -3, -3]
2074	devilwood	-0.8	1.07703	[0, -1, -2, 0, 0, 0, 0, -3, -2, 0]
2075	devilwoods	-1.0	0.7746	[-2, 0, -2, -1, -1, 0, -1, -2, 0, -1]
2076	devote	1.4	1.28062	[3, 0, 2, -1, 0, 3, 2, 2, 1, 2]
2077	devoted	1.7	1.34536	[2, -1, 3, 2, 1, 0, 1, 3, 3, 3]
2078	devotedly	1.6	1.35647	[1, 1, 2, 2, 3, 2, 2, -2, 2, 3]
2079	devotedness	2.0	1.0	[0, 3, 2, 1, 3, 2, 2, 3, 1, 3]
2080	devotee	1.6	1.11355	[1, 3, 0, 2, 1, 2, 1, 1, 4, 1]
2081	devotees	0.5	1.0247	[0, 0, 3, 0, 0, 0, 2, 0, 0, 0]
2082	devotement	1.5	1.36015	[2, -1, 3, 2, -1, 1, 2, 3, 2, 2]
2083	devotements	1.1	1.04403	[0, 1, 0, 0, 0, 2, 2, 2, 3, 1]
2084	devotes	1.6	0.91652	[2, 3, 0, 2, 2, 3, 1, 1, 1, 1]
2085	devoting	2.1	0.7	[2, 2, 3, 1, 2, 3, 2, 3, 1, 2]
2086	devotion	2.0	1.0	[2, 0, 1, 2, 4, 3, 2, 2, 2, 2]
2087	devotional	1.2	1.16619	[0, 1, 0, 2, 2, 1, 0, 0, 3, 3]
2088	devotionally	2.2	0.4	[2, 2, 2, 3, 2, 3, 2, 2, 2, 2]
2089	devotionals	1.2	1.07703	[3, 1, 1, 0, -1, 2, 2, 2, 1, 1]
2090	devotions	1.8	0.74833	[2, 3, 1, 2, 1, 3, 1, 2, 1, 2]
2091	diamond	1.4	1.42829	[0, 0, 2, 0, 1, 3, 1, 3, 0, 4]
2092	dick	-2.3	1.18743	[-2, -3, -4, -2, 0, -4, -2, -1, -3, -2]
2093	dickhead	-3.1	0.53852	[-4, -3, -3, -3, -4, -2, -3, -3, -3, -3]
2094	die	-2.9	0.9434	[-4, -3, -1, -2, -4, -3, -3, -3, -2, -4]
2095	died	-2.6	1.28062	[-3, -1, -3, -4, -2, -4, -3, -4, -2, 0]
2096	difficult	-1.5	0.5	[-2, -2, -1, -1, -2, -1, -1, -2, -1, -2]
2097	difficulties	-1.2	0.4	[-1, -2, -1, -1, -1, -2, -1, -1, -1, -1]
2098	difficultly	-1.7	0.45826	[-1, -2, -1, -2, -2, -1, -2, -2, -2, -2]
2099	difficulty	-1.4	0.66332	[-2, -2, -2, -2, 0, -1, -1, -2, -1, -1]
2100	diffident	-1.0	0.44721	[-1, -1, -1, -1, -1, 0, -2, -1, -1, -1]
2101	dignified	2.2	0.6	[1, 2, 2, 2, 3, 3, 3, 2, 2, 2]
2102	dignifies	2.0	0.7746	[1, 3, 2, 2, 3, 3, 2, 2, 1, 1]
2103	dignify	1.8	0.74833	[1, 2, 2, 1, 3, 3, 1, 2, 2, 1]
2104	dignifying	2.1	1.04403	[1, 1, 1, 3, 1, 4, 2, 3, 2, 3]
2105	dignitaries	0.6	0.91652	[0, 0, 1, 0, 0, 0, 3, 0, 1, 1]
2106	dignitary	1.9	1.3	[0, 3, 4, 2, 3, 1, 1, 3, 0, 2]
2107	dignities	1.4	0.66332	[1, 2, 1, 1, 3, 2, 1, 1, 1, 1]
2108	dignity	1.7	0.9	[0, 3, 2, 1, 2, 1, 2, 3, 1, 2]
2109	dilemma	-0.7	1.48661	[2, -1, -2, -2, -1, -1, 2, 0, -2, -2]
2110	dipshit	-2.1	0.7	[-1, -2, -2, -3, -2, -3, -3, -2, -2, -1]
2111	dire	-2.0	1.26491	[-2, -3, -3, -2, -3, -1, -1, 1, -3, -3]
2112	direful	-3.1	0.83066	[-3, -3, -3, -3, -4, -1, -4, -3, -4, -3]
2113	dirt	-1.4	0.91652	[-1, -1, -1, 0, -3, -1, -1, -2, -3, -1]
2114	dirtier	-1.4	0.4899	[-2, -1, -1, -2, -1, -2, -1, -1, -2, -1]
2115	dirtiest	-2.4	1.0198	[-4, -3, -2, -1, -2, -3, -1, -2, -4, -2]
2116	dirty	-1.9	0.83066	[-2, -1, -1, -1, -2, -2, -1, -3, -3, -3]
2117	disabling	-2.1	0.53852	[-2, -1, -3, -3, -2, -2, -2, -2, -2, -2]
2118	disadvantage	-1.8	0.4	[-2, -2, -1, -2, -2, -1, -2, -2, -2, -2]
2119	disadvantaged	-1.7	0.64031	[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]
2120	disadvantageous	-1.8	0.74833	[-1, -2, -2, -1, -3, -1, -1, -2, -3, -2]
2121	disadvantageously	-2.1	0.83066	[-2, -4, -1, -2, -1, -2, -2, -2, -3, -2]
2122	disadvantageousness	-1.6	0.66332	[-1, -1, -3, -2, -1, -1, -2, -1, -2, -2]
2123	disadvantages	-1.7	0.64031	[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]
2124	disagree	-1.6	0.4899	[-1, -2, -1, -1, -2, -2, -2, -2, -1, -2]
2125	disagreeable	-1.7	0.64031	[-1, -2, -1, -1, -1, -2, -2, -2, -3, -2]
2126	disagreeableness	-1.7	0.64031	[-1, -1, -2, -2, -1, -2, -3, -1, -2, -2]
2127	disagreeablenesses	-1.9	0.9434	[-2, 0, -3, -1, -2, -3, -2, -1, -3, -2]
2128	disagreeably	-1.5	0.67082	[-3, -2, -1, -1, -1, -2, -1, -2, -1, -1]
2129	disagreed	-1.3	0.64031	[-1, -2, -1, -1, -2, 0, -1, -2, -1, -2]
2130	disagreeing	-1.4	0.8	[-1, 0, -1, -2, -2, -1, -3, -1, -1, -2]
2131	disagreement	-1.5	0.67082	[-2, -1, -1, -1, -1, -1, -1, -3, -2, -2]
2132	disagreements	-1.8	0.6	[-2, -3, -1, -2, -2, -1, -2, -2, -1, -2]
2133	disagrees	-1.3	0.45826	[-1, -2, -1, -1, -1, -1, -1, -2, -1, -2]
2134	disappear	-0.9	0.7	[-2, -1, 0, 0, -2, -1, -1, -1, 0, -1]
2135	disappeared	-0.9	0.7	[-2, 0, -1, -1, 0, 0, -2, -1, -1, -1]
2136	disappears	-1.4	0.8	[-2, -2, 0, 0, -2, -1, -2, -1, -2, -2]
2137	disappoint	-1.7	0.64031	[-1, -1, -1, -3, -2, -2, -2, -1, -2, -2]
2138	disappointed	-2.1	0.83066	[-1, -3, -2, -2, -3, -1, -1, -2, -3, -3]
2139	disappointedly	-1.7	0.78102	[-3, -1, -3, -1, -2, -1, -1, -2, -2, -1]
2140	disappointing	-2.2	0.6	[-1, -2, -2, -3, -3, -2, -2, -2, -3, -2]
2141	disappointingly	-1.9	0.7	[-2, -1, -1, -3, -2, -3, -2, -2, -1, -2]
2142	disappointment	-2.3	1.00499	[-3, -1, -4, -1, -3, -1, -3, -2, -2, -3]
2143	disappointments	-2.0	1.09545	[-1, -2, -4, -3, -2, -2, -3, 0, -2, -1]
2144	disappoints	-1.6	0.4899	[-2, -1, -1, -1, -2, -1, -2, -2, -2, -2]
2145	disaster	-3.1	0.83066	[-2, -4, -4, -3, -3, -2, -4, -3, -2, -4]
2146	disasters	-2.6	0.8	[-2, -2, -3, -1, -3, -3, -2, -4, -3, -3]
2147	disastrous	-2.9	0.53852	[-2, -2, -3, -3, -3, -3, -4, -3, -3, -3]
2148	disbelieve	-1.2	0.87178	[-1, -2, -1, -2, -1, 0, 0, -1, -3, -1]
2149	discard	-1.0	0.44721	[-1, -1, -1, -1, 0, -1, -1, -1, -2, -1]
2150	discarded	-1.4	0.91652	[-1, -1, -1, -1, 0, -1, -2, -3, -3, -1]
2151	discarding	-0.7	0.45826	[-1, 0, -1, -1, -1, 0, -1, 0, -1, -1]
2152	discards	-1.0	0.63246	[0, -1, -1, -1, -2, 0, -2, -1, -1, -1]
2153	discomfort	-1.8	0.6	[-2, -2, -2, -1, -1, -3, -2, -2, -1, -2]
2154	discomfortable	-1.6	0.8	[-1, -1, -1, -2, -3, -1, -2, -1, -3, -1]
2155	discomforted	-1.6	0.8	[-1, -1, -1, -2, -3, -3, -1, -1, -1, -2]
2156	discomforting	-1.6	1.11355	[-1, -2, -1, -1, -2, 1, -3, -2, -3, -2]
2157	discomforts	-1.3	0.9	[-2, -1, -2, -1, -1, -2, -2, -1, 1, -2]
2158	disconsolate	-2.3	0.78102	[-1, -2, -2, -3, -2, -2, -2, -4, -3, -2]
2159	disconsolation	-1.7	0.45826	[-2, -2, -1, -2, -1, -1, -2, -2, -2, -2]
2160	discontented	-1.8	0.9798	[-1, -3, -1, -2, -4, -2, -1, -2, -1, -1]
2161	discord	-1.7	0.64031	[-3, -2, -2, -2, -2, -1, -1, -1, -1, -2]
2162	discounted	0.2	1.249	[-1, 0, 3, -1, 0, 1, 1, 1, -1, -1]
2163	discourage	-1.8	0.6	[-2, -2, -1, -2, -1, -1, -2, -2, -3, -2]
2164	discourageable	-1.2	0.9798	[-1, -2, -1, 1, -1, -1, -1, -2, -3, -1]
2165	discouraged	-1.7	0.45826	[-2, -1, -2, -2, -2, -2, -1, -1, -2, -2]
2166	discouragement	-2.0	0.89443	[-4, -1, -2, -2, -1, -1, -3, -2, -2, -2]
2167	discouragements	-1.8	0.6	[-2, -2, -2, -1, -1, -3, -2, -1, -2, -2]
2168	discourager	-1.7	0.78102	[-2, -1, -3, -2, -1, -3, -1, -2, -1, -1]
2169	discouragers	-1.9	0.53852	[-2, -2, -2, -2, -1, -1, -3, -2, -2, -2]
2170	discourages	-1.9	0.53852	[-2, -1, -2, -2, -2, -2, -1, -3, -2, -2]
2171	discouraging	-1.9	0.7	[-2, -2, -2, -3, -1, -1, -2, -1, -2, -3]
2172	discouragingly	-1.8	0.87178	[-2, -1, -3, -1, -1, -3, -2, -1, -3, -1]
2173	discredited	-1.9	0.53852	[-2, -2, -2, -2, -1, -3, -1, -2, -2, -2]
2174	disdain	-2.1	0.3	[-3, -2, -2, -2, -2, -2, -2, -2, -2, -2]
2175	disgrace	-2.2	0.74833	[-2, -4, -1, -2, -2, -2, -2, -3, -2, -2]
2176	disgraced	-2.0	0.44721	[-3, -2, -2, -2, -1, -2, -2, -2, -2, -2]
2177	disguise	-1.0	1.09545	[-2, -1, 0, 0, 0, 0, -3, -2, -2, 0]
2178	disguised	-1.1	1.04403	[-3, 0, 0, -1, -1, 0, -3, -1, -1, -1]
2179	disguises	-1.0	0.63246	[-2, 0, 0, -1, -1, -1, -2, -1, -1, -1]
2180	disguising	-1.3	0.78102	[0, -2, -1, -1, -1, -2, -1, -1, -3, -1]
2181	disgust	-2.9	0.7	[-3, -3, -4, -2, -3, -3, -4, -2, -3, -2]
2182	disgusted	-2.4	0.91652	[-4, -3, -3, -1, -3, -1, -2, -2, -2, -3]
