	Token	Polarity	StdDev	Grades
270	ijs	0.7	1.84662	[0, -1, 0, -1, 0, 4, 0, 4, -1, 2]
271	ilu	3.4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
272	iluaaf	2.7	1.1	[3, 3, 3, 2, 3, 0, 4, 3, 2, 4]
273	ily	3.4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
274	ily2	2.6	0.66332	[3, 2, 3, 2, 3, 2, 3, 4, 2, 2]
275	iou	0.7	1.34536	[0, 0, -1, 2, 0, 0, 0, 4, 1, 1]
276	iyq	2.3	1.18743	[3, 3, 1, 1, 2, 1, 4, 4, 3, 1]
277	j/j	2.0	1.34164	[4, 1, 1, 1, 1, 4, 4, 1, 2, 1]
278	j/k	1.6	1.2	[1, 2, 1, 3, 0, 0, 2, 2, 1, 4]
279	j/p	1.4	0.66332	[1, 1, 0, 2, 1, 2, 2, 2, 1, 2]
280	j/t	-0.2	1.46969	[1, -1, -1, -2, 1, 1, 2, -2, 1, -2]
281	j/w	1.0	1.0	[1, 1, 1, 3, 0, 0, 0, 2, 0, 2]
282	j4f	1.4	0.8	[2, 1, 1, 0, 3, 1, 1, 1, 2, 2]
283	j4g	1.7	1.18743	[1, 4, 1, 1, 3, 1, 3, 0, 2, 1]
284	jho	0.8	0.4	[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]
285	jhomf	1.0	0.63246	[1, 1, 1, 0, 1, 0, 2, 2, 1, 1]
286	jj	1.0	0.63246	[1, 1, 1, 1, 2, 0, 2, 1, 1, 0]
287	jk	0.9	1.22066	[1, 0, 0, 1, 0, 0, 2, 1, 4, 0]
288	jp	0.8	0.74833	[1, 1, 1, 0, 2, 0, 2, 0, 1, 0]
289	jt	0.9	0.83066	[1, 1, 0, 2, 2, 0, 2, 0, 1, 0]
290	jw	1.6	1.68523	[3, 0, 0, 0, 0, 0, 3, 4, 2, 4]
291	jealz	-1.2	0.9798	[-1, -1, -1, 1, -2, -2, -1, -3, -1, -1]
292	k4y	2.3	1.00499	[2, 1, 1, 2, 4, 2, 3, 4, 2, 2]
293	kfy	2.3	0.64031	[2, 2, 2, 1, 3, 2, 3, 3, 2, 3]
294	kia	-3.2	0.6	[-3, -3, -3, -4, -3, -2, -3, -3, -4, -4]
295	kk	1.5	1.0247	[2, 1, 0, 0, 1, 2, 3, 3, 2, 1]
296	kmuf	2.2	1.4	[2, 2, 2, 3, 4, 3, -1, 1, 4, 2]
297	l	2.0	0.7746	[2, 1, 2, 3, 2, 3, 1, 3, 2, 1]
298	l&r	2.2	0.74833	[3, 2, 2, 3, 1, 3, 1, 3, 2, 2]
299	laoj	1.3	1.73494	[1, -2, -1, 3, 3, 2, 4, 1, 1, 1]
300	lmao	2.0	1.18322	[3, 0, 3, 0, 3, 1, 3, 2, 3, 2]
301	lmbao	1.8	1.77764	[3, 2, 2, 2, 1, 3, -3, 2, 4, 2]
302	lmfao	2.5	1.28452	[3, 2, 3, 3, 3, -1, 4, 2, 3, 2]
303	lmso	2.7	0.78102	[3, 3, 4, 3, 3, 1, 3, 3, 2, 2]
304	lol	2.9	0.83066	[4, 2, 2, 2, 4, 2, 3, 3, 4, 3]
305	lolz	2.7	0.78102	[2, 3, 3, 2, 2, 4, 4, 3, 2, 2]
306	lts	1.6	0.66332	[1, 1, 2, 2, 1, 3, 1, 1, 2, 2]
307	ly	2.6	0.91652	[2, 2, 1, 3, 4, 4, 3, 2, 2, 3]
308	ly4e	2.7	0.78102	[3, 3, 3, 2, 1, 3, 3, 4, 2, 3]
309	lya	3.3	0.78102	[3, 4, 4, 4, 2, 2, 3, 4, 3, 4]
310	lyb	3.0	0.63246	[3, 3, 4, 3, 2, 3, 2, 4, 3, 3]
311	lyl	3.1	0.7	[4, 3, 4, 3, 2, 3, 3, 2, 4, 3]
312	lylab	2.7	0.78102	[3, 3, 3, 1, 3, 4, 2, 2, 3, 3]
313	lylas	2.6	0.8	[3, 3, 3, 1, 3, 4, 2, 2, 2, 3]
314	lylb	1.6	1.56205	[2, 2, 3, -2, 4, 1, 3, 1, 1, 1]
315	m8	1.4	1.0198	[3, 0, 1, 0, 1, 3, 2, 2, 1, 1]
316	mia	-1.2	0.4	[-2, -1, -1, -2, -1, -1, -1, -1, -1, -1]
317	mml	2.0	1.0	[1, 1, 2, 3, 3, 2, 1, 2, 4, 1]
318	mofo	-2.4	2.2	[-4, -4, -4, 0, -3, -2, -2, -4, 3, -4]
319	muah	2.8	1.07703	[1, 2, 4, 4, 4, 2, 4, 2, 2, 3]
320	mubar	-1.0	2.36643	[-4, -2, -3, -2, -2, -2, 1, 4, 2, -2]
321	musm	0.9	2.07123	[-1, 1, 1, 1, 4, 3, 1, -4, 1, 2]
322	mwah	2.5	0.80623	[2, 2, 2, 4, 2, 3, 2, 2, 4, 2]
323	n1	1.9	1.04403	[1, 1, 3, 2, 2, 3, 4, 1, 1, 1]
324	nbd	1.3	1.34536	[2, 1, 0, 0, 0, 4, 2, 0, 3, 1]
325	nbif	-0.5	0.67082	[-1, -2, 0, 0, 0, 0, -1, -1, 0, 0]
326	nfc	-2.7	0.9	[-3, -2, -2, -3, -1, -2, -4, -3, -4, -3]
327	nfw	-2.4	1.0198	[-2, -2, -1, -3, -1, -2, -4, -3, -4, -2]
328	nh	2.2	0.6	[2, 2, 2, 2, 1, 3, 3, 3, 2, 2]
329	nimby	-0.8	0.6	[0, 0, -1, 0, -1, -2, -1, -1, -1, -1]
330	nimjd	-0.7	0.78102	[0, -2, -1, -2, 0, -1, 0, 0, 0, -1]
331	nimq	-0.2	0.6	[0, 0, 0, 0, 0, 0, 0, 0, -2, 0]
332	nimy	-1.4	1.68523	[-1, -2, -3, -2, -1, 2, -3, 0, 0, -4]
333	nitl	-1.5	0.92195	[-1, -1, -2, -3, -1, -3, -1, -2, 0, -1]
334	nme	-2.1	1.13578	[-1, -2, -2, -1, -4, -2, -3, -3, 0, -3]
335	noyb	-0.7	1.67631	[-1, -2, 0, -1, -1, -2, -2, -1, 4, -1]
336	np	1.4	1.0198	[0, 1, 1, 1, 1, 2, 2, 4, 1, 1]
337	ntmu	1.4	0.66332	[1, 1, 0, 1, 2, 2, 2, 2, 2, 1]
338	o-8	-0.5	1.5	[2, -1, 0, 0, -2, -2, 0, -2, 2, -2]
339	o-:	-0.3	1.18743	[2, -1, 0, 0, -1, -2, 0, -2, 1, 0]
340	o-|	-1.1	0.53852	[-1, -1, -1, 0, -1, -1, -1, -2, -2, -1]
341	o.o	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
342	O.o	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
343	o.O	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
344	o:	-0.2	0.87178	[-1, 0, -1, -2, 0, 1, 0, 1, 0, 0]
345	o:)	1.5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
346	o:-)	2.0	1.18322	[1, 4, 1, 2, 4, 1, 1, 2, 3, 1]
347	o:-3	2.2	0.9798	[1, 4, 2, 3, 3, 2, 1, 2, 3, 1]
348	o:3	2.3	0.78102	[3, 3, 2, 2, 1, 2, 4, 2, 2, 2]
349	o:<	-0.3	1.1	[-1, -1, -2, 0, -1, 0, 1, 2, 0, -1]
350	o;^)	1.6	0.8	[1, 2, 1, 2, 1, 2, 2, 0, 3, 2]
351	ok	1.6	1.42829	[0, 0, 1, 1, 1, 4, 3, 4, 1, 1]
352	o_o	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
353	O_o	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
354	o_O	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
355	pita	-2.4	1.2	[-2, -1, -1, -4, -4, -2, -4, -2, -3, -1]
356	pls	0.3	0.45826	[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]
357	plz	0.3	0.45826	[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]
358	pmbi	0.8	1.32665	[3, 0, 0, 1, 1, -2, 2, 2, 0, 1]
359	pmfji	0.3	0.78102	[0, 0, 1, 0, 2, -1, 0, 1, 0, 0]
360	pmji	0.7	1.00499	[1, 2, 0, -1, 0, 0, 2, 2, 1, 0]
361	po	-2.6	0.91652	[-2, -3, -4, -3, -3, -3, -1, -3, -1, -3]
362	ptl	2.6	1.11355	[3, 4, 2, 4, 1, 2, 3, 1, 4, 2]
363	pu	-1.1	1.3	[-3, -1, -3, -2, -1, -1, -1, -1, 1, 1]
364	qq	-2.2	0.6	[-2, -2, -1, -3, -3, -2, -2, -3, -2, -2]
365	qt	1.8	0.6	[2, 2, 1, 2, 1, 3, 2, 1, 2, 2]
366	r&r	2.4	1.0198	[2, 4, 2, 3, 1, 4, 2, 2, 1, 3]
367	rofl	2.7	0.78102	[3, 2, 2, 2, 4, 4, 2, 3, 3, 2]
368	roflmao	2.5	1.11803	[4, 2, 2, 4, 1, 1, 2, 4, 3, 2]
369	rotfl	2.6	0.66332	[3, 2, 3, 3, 1, 3, 3, 3, 2, 3]
370	rotflmao	2.8	1.07703	[4, 3, 2, 4, 1, 1, 4, 3, 3, 3]
371	rotflmfao	2.5	1.11803	[3, 4, 1, 3, 3, 3, 0, 3, 2, 3]
372	rotflol	3.0	1.09545	[1, 4, 4, 4, 2, 2, 2, 3, 4, 4]
373	rotgl	2.9	0.7	[4, 3, 2, 2, 3, 3, 3, 2, 4, 3]
374	rotglmao	1.8	2.4	[3, 3, 4, 3, -1, 1, 4, -4, 2, 3]
375	s:	-1.1	0.83066	[-1, -1, -2, -2, -1, -1, -2, -1, 1, -1]
376	sapfu	-1.1	1.57797	[-2, 0, -3, -1, -1, 1, -2, 2, -2, -3]
377	sete	2.8	0.87178	[3, 3, 3, 2, 3, 3, 4, 4, 1, 2]
378	sfete	2.7	0.78102	[4, 3, 3, 3, 2, 4, 2, 2, 2, 2]
379	sgtm	2.4	1.0198	[2, 1, 1, 2, 3, 3, 2, 2, 4, 4]
380	slap	0.6	2.15407	[2, -1, 1, -1, 0, 4, -3, 4, 1, -1]
381	slaw	2.1	1.04403	[3, 2, 0, 2, 2, 2, 3, 1, 4, 2]
382	smh	-1.3	0.64031	[-2, -1, 0, -1, -1, -2, -2, -1, -2, -1]
383	snafu	-2.5	1.11803	[-3, -4, -3, -3, -1, 0, -2, -3, -3, -3]
384	sob	-2.8	0.9798	[-3, -4, -3, -2, -2, -1, -2, -4, -4, -3]
385	swak	2.3	1.00499	[2, 2, 2, 1, 4, 2, 3, 2, 1, 4]
386	tgif	2.3	1.34536	[1, 3, 3, 3, -1, 2, 4, 2, 3, 3]
387	thks	1.4	0.4899	[1, 2, 1, 2, 1, 2, 1, 1, 2, 1]
388	thx	1.5	0.92195	[0, 1, 3, 2, 1, 2, 1, 1, 3, 1]
389	tia	2.3	0.9	[3, 1, 2, 1, 4, 3, 2, 3, 2, 2]
390	tmi	-0.3	1.61555	[-1, -1, 2, -1, 1, -2, -2, -1, 3, -1]
391	tnx	1.1	0.53852	[2, 1, 1, 0, 1, 1, 2, 1, 1, 1]
392	true	1.8	1.32665	[2, 1, 1, 0, 1, 4, 3, 1, 4, 1]
393	tx	1.5	0.92195	[3, 2, 1, 0, 2, 1, 3, 1, 1, 1]
394	txs	1.1	0.7	[1, 2, 0, 1, 2, 0, 1, 2, 1, 1]
395	ty	1.6	0.66332	[1, 2, 3, 1, 2, 2, 1, 2, 1, 1]
396	tyvm	2.5	1.11803	[2, 2, 1, 3, 1, 4, 2, 4, 2, 4]
397	urw	1.9	1.13578	[1, 2, 1, 2, 4, 2, 4, 1, 1, 1]
398	vbg	2.1	1.75784	[2, 3, 3, 3, 3, -3, 3, 2, 2, 3]
399	vbs	3.1	0.53852	[2, 3, 3, 3, 4, 4, 3, 3, 3, 3]
400	vip	2.3	1.00499	[2, 1, 1, 3, 4, 2, 2, 4, 2, 2]
401	vwd	2.6	0.91652	[4, 2, 4, 2, 1, 3, 3, 2, 3, 2]
402	vwp	2.1	0.7	[3, 1, 2, 2, 3, 2, 2, 3, 1, 2]
403	wag	-0.2	0.74833	[-1, 0, 0, 0, 0, 0, -2, 1, 0, 0]
404	wd	2.7	1.1	[3, 1, 4, 3, 4, 2, 1, 3, 2, 4]
405	wilco	0.9	0.9434	[1, 3, 1, 0, 1, 0, 2, 1, 0, 0]
406	wp	1.0	0.0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
407	wtf	-2.8	0.74833	[-4, -3, -2, -3, -2, -2, -2, -4, -3, -3]
408	wtg	2.1	0.7	[1, 3, 2, 3, 2, 2, 2, 1, 2, 3]
409	wth	-2.4	0.4899	[-2, -3, -2, -3, -2, -2, -2, -3, -3, -2]
410	x-d	2.7	0.78102	[1, 3, 4, 2, 3, 3, 3, 2, 3, 3]
411	x-p	1.8	0.87178	[2, 1, 3, 1, 3, 1, 3, 1, 2, 1]
412	xd	2.7	0.9	[1, 4, 4, 3, 2, 2, 3, 3, 2, 3]
413	xlnt	3.0	0.89443	[4, 3, 3, 1, 4, 4, 3, 3, 3, 2]
414	xoxo	3.0	0.7746	[2, 2, 4, 2, 3, 3, 4, 3, 3, 4]
415	xoxozzz	2.3	0.78102	[3, 1, 2, 2, 2, 2, 3, 2, 4, 2]
416	xp	1.2	0.4	[1, 1, 1, 1, 2, 1, 2, 1, 1, 1]
417	xqzt	1.6	1.42829	[0, 2, 1, 2, 4, -1, 3, 1, 1, 3]
418	xtc	0.8	1.93907	[2, 0, -3, 3, 3, -1, 3, 1, -1, 1]
419	yolo	1.1	0.83066	[0, 1, 1, 2, 1, 1, 1, 3, 0, 1]
420	yoyo	0.4	1.85472	[-1, 0, -1, -1, 4, 2, -2, 2, 2, -1]
421	yvw	1.6	0.4899	[1, 2, 1, 1, 2, 2, 2, 1, 2, 2]
422	yw	1.8	1.32665	[1, 1, 1, 4, 1, 1, 4, 0, 3, 2]
423	ywia	2.5	1.11803	[3, 2, 3, 4, 1, 1, 1, 3, 3, 4]
424	zzz	-1.2	0.87178	[0, -1, 0, -1, -3, -1, -1, -2, -2, -1]
457	abandon	-1.9	0.53852	[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]
458	abandoned	-2.0	1.09545	[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]
459	abandoner	-1.9	0.83066	[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]
460	abandoners	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
461	abandoning	-1.6	0.8	[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]
462	abandonment	-2.4	1.0198	[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]
463	abandonments	-1.7	0.45826	[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]
464	abandons	-1.3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
465	abducted	-2.3	1.18743	[-3, -1, 0, -3, -1, -3, -4, -2, -3, -3]
466	abduction	-2.8	0.87178	[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]
467	abductions	-2.0	1.41421	[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]
468	abhor	-2.0	1.09545	[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]
469	abhorred	-2.4	1.49666	[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]
470	abhorrent	-3.1	1.3	[-4, -4, -4, -2, 0, -4, -2, -3, -4, -4]
471	abhors	-2.9	1.51327	[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]
472	abilities	1.0	0.63246	[1, 2, 0, 1, 0, 1, 1, 1, 1, 2]
473	ability	1.3	0.64031	[1, 1, 1, 0, 1, 2, 2, 2, 2, 1]
474	aboard	0.1	0.3	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
475	absentee	-1.1	0.53852	[-1, -1, 0, -2, -1, -1, -2, -1, -1, -1]
476	absentees	-0.8	0.6	[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]
477	absolve	1.2	1.46969	[2, -3, 2, 2, 1, 1, 2, 1, 2, 2]
478	absolved	1.5	0.92195	[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]
479	absolves	1.3	1.00499	[3, 1, 1, 0, 0, 2, 3, 1, 1, 1]
480	absolving	1.6	0.8	[3, 1, 2, 1, 1, 2, 3, 1, 1, 1]
481	abuse	-3.2	0.6	[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]
482	abused	-2.3	0.64031	[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]
483	abuser	-2.6	0.4899	[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]
484	abusers	-2.6	1.0198	[-2, -3, -3, -3, -3, -2, -3, -4, -3, 0]
485	abuses	-2.6	0.66332	[-3, -2, -3, -3, -3, -3, -1, -2, -3, -3]
486	abusing	-2.0	1.41421	[-1, -2, -2, -4, -4, -2, -3, -1, 1, -2]
487	abusive	-3.2	0.74833	[-4, -3, -3, -4, -4, -3, -4, -2, -3, -2]
488	abusively	-2.8	0.6	[-3, -4, -3, -2, -3, -2, -2, -3, -3, -3]
489	abusiveness	-2.5	0.92195	[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]
490	abusivenesses	-3.0	0.63246	[-3, -3, -4, -3, -4, -2, -2, -3, -3, -3]
491	accept	1.6	0.91652	[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]
492	acceptabilities	1.6	0.66332	[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]
493	acceptability	1.1	0.53852	[1, 0, 1, 2, 1, 2, 1, 1, 1, 1]
494	acceptable	1.3	0.45826	[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]
495	acceptableness	1.3	0.9	[1, 0, 2, 1, 2, 1, 1, 0, 2, 3]
496	acceptably	1.5	0.67082	[3, 2, 1, 1, 1, 2, 1, 1, 2, 1]
497	acceptance	2.0	0.63246	[3, 1, 3, 2, 1, 2, 2, 2, 2, 2]
498	acceptances	1.7	0.78102	[3, 1, 1, 1, 2, 2, 1, 2, 3, 1]
499	acceptant	1.6	0.8	[0, 1, 2, 2, 2, 1, 2, 1, 3, 2]
500	acceptation	1.3	0.78102	[0, 1, 2, 1, 1, 1, 1, 3, 2, 1]
501	acceptations	0.9	0.83066	[1, 2, 0, 2, 0, 1, 0, 2, 1, 0]
502	accepted	1.1	0.3	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
503	accepting	1.6	0.66332	[2, 2, 2, 1, 1, 2, 1, 3, 1, 1]
504	accepts	1.3	0.45826	[1, 2, 1, 1, 1, 2, 2, 1, 1, 1]
505	accident	-2.1	0.83066	[-2, -2, -1, -3, -4, -2, -2, -1, -2, -2]
506	accidental	-0.3	0.45826	[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]
507	accidentally	-1.4	0.91652	[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]
508	accidents	-1.3	0.78102	[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]
509	accomplish	1.8	0.6	[1, 2, 3, 2, 2, 2, 1, 1, 2, 2]
